,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
0,21.04.2024,RODADA 34,Fulham,Liverpool,1,3,1,1,0,2,0.43,0.48,34%,66%,7,7,3,2,4,5,5,4,1,3,0,0,6,8,1,2,4,5,0,0,2,0,160,322,5,6,34,53,16,25,7,4
1,21.04.2024,RODADA 34,Aston Villa,Bournemouth,3,1,1,1,2,0,0.70,0.94,64%,36%,7,7,1,2,6,5,8,3,2,3,2,2,11,4,1,0,2,6,0,0,0,2,253,140,9,6,36,25,21,18,4,11
2,21.04.2024,RODADA 34,Crystal Palace,West Ham,5,2,4,1,1,1,2.09,1.28,65%,35%,13,3,5,1,8,2,9,4,3,0,0,2,14,6,0,1,5,7,0,0,2,2,320,171,13,13,66,43,31,18,7,10
3,21.04.2024,RODADA 34,Everton,Nottingham,2,0,1,0,1,0,0.10,0.33,42%,58%,3,5,2,3,1,2,5,8,4,4,0,0,10,10,3,1,9,5,0,0,0,0,206,297,7,1,47,43,23,16,8,10
4,20.04.2024,RODADA 34,Wolverhampton,Arsenal,0,2,0,1,0,1,0.11,0.46,48%,52%,3,8,2,4,1,4,4,6,0,0,0,0,2,10,3,2,6,4,0,0,2,2,259,276,12,4,39,62,9,36,9,4
5,20.04.2024,RODADA 34,Luton,Brentford,1,5,0,2,1,3,0.16,1.18,56%,44%,4,9,2,3,2,6,2,4,2,5,0,0,8,10,1,2,3,3,0,0,0,1,224,168,7,11,54,45,31,25,18,16
6,20.04.2024,RODADA 34,Sheffield Utd,Burnley,1,4,0,2,1,2,1.33,0.63,47%,53%,8,9,5,4,3,5,5,7,4,1,1,1,11,11,2,5,6,4,0,0,0,0,209,241,12,13,48,42,26,24,11,13
7,15.04.2024,RODADA 33,Chelsea,Everton,6,0,4,0,2,0,1.39,1.18,63%,37%,8,4,5,1,3,3,13,3,1,5,0,3,7,7,1,1,3,12,0,0,1,2,278,151,2,10,49,59,19,31,11,2
8,14.04.2024,RODADA 33,Arsenal,Aston Villa,0,2,0,0,0,2,1.15,0.29,56%,44%,14,6,3,0,11,6,2,6,2,0,2,0,7,9,0,3,4,3,0,0,2,1,250,195,12,9,53,33,39,12,6,5
9,14.04.2024,RODADA 33,Liverpool,Crystal Palace,0,1,0,1,0,0,1.00,1.18,63%,37%,7,6,3,4,4,2,7,6,3,0,2,4,10,12,3,3,4,4,0,0,0,0,350,208,10,18,80,48,26,12,6,9
10,14.04.2024,RODADA 33,West Ham,Fulham,0,2,0,1,0,1,0.83,1.30,55%,45%,12,10,3,6,9,4,4,7,4,1,1,0,10,2,5,3,3,7,0,0,0,0,265,226,6,6,67,35,44,15,5,18
11,13.04.2024,RODADA 33,Bournemouth,Manchester Utd,2,2,2,1,0,1,1.16,0.31,39%,61%,12,5,5,1,7,4,6,7,1,1,1,2,11,6,0,3,7,4,0,0,1,0,183,287,11,5,40,63,20,17,7,7
12,13.04.2024,RODADA 33,Brentford,Sheffield Utd,2,0,0,0,2,0,0.88,0.30,54%,46%,6,3,3,1,3,2,8,5,1,2,1,1,11,7,1,3,4,7,0,0,2,1,213,182,4,7,59,37,29,20,11,8
13,13.04.2024,RODADA 33,Burnley,Brighton,1,1,0,0,1,1,1.31,0.40,52%,48%,5,9,0,5,5,4,6,10,2,2,1,2,5,5,5,0,9,3,0,0,1,0,247,233,10,9,62,38,31,17,7,11
14,13.04.2024,RODADA 33,Manchester City,Luton,5,1,1,0,4,1,1.90,0.00,76%,24%,19,0,6,0,13,0,3,4,10,1,0,0,4,3,0,5,4,3,0,0,1,0,382,125,10,8,78,17,66,7,3,23
15,13.04.2024,RODADA 33,Nottingham,Wolverhampton,2,2,1,1,1,1,0.57,0.32,42%,58%,9,6,3,2,6,4,8,5,5,0,1,1,9,8,1,2,4,7,0,0,0,2,199,285,5,8,49,42,32,15,4,14
16,13.04.2024,RODADA 33,Newcastle,Tottenham,4,0,2,0,2,0,1.83,0.51,33%,67%,10,5,2,1,8,4,8,7,10,1,1,1,8,8,1,0,8,6,0,0,0,1,105,225,7,9,40,47,27,23,8,8
17,07.04.2024,RODADA 32,Tottenham,Nottingham,3,1,1,1,2,0,0.78,0.83,65%,35%,8,7,2,4,6,3,6,4,5,2,0,1,5,8,3,1,4,5,0,0,1,1,328,178,5,3,69,31,47,11,7,14
