,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T,GEHT2T,GEAT2T,PBHT2T,PBAT2T,TGHT2T,TGAT2T,CGHT2T,CGAT2T,CFHT2T,CFAT2T,FCHT2T,FCAT2T,EHT2T,EAT2T,IHT2T,IAT2T,LCHT2T,LCAT2T,DGHT2T,DGAT2T,FHT2T,FAT2T,CVHT2T,CVAT2T,CAHT2T,CAAT2T,PTHT2T,PTAT2T,DHT2T,DAT2T,AHT2T,AAT2T,APHT2T,APAT2T,BACHT2T,BACAT2T
0,15.04.2024,RODADA 33,Chelsea,Everton,6,0,4,0,2,0,2.92,1.39,59%,41%,14,10,10,2,4,8,19,5,4,8,0,4,13,16,2,4,5,21,0,0,1,4,584,380,9,17,84,125,35,64,24,6,1.39,1.18,63%,37%,8,4,5,1,3,3,13,3,1,5,0,3,7,7,1,1,3,12,0,0,1,2,278,151,2,10,49,59,19,31,11,2,1.53,0.21,55%,45%,6,6,5,1,1,5,6,2,3,3,0,1,6,9,1,3,2,9,0,0,0,2,306,229,7,7,35,66,16,33,13,4
1,14.04.2024,RODADA 33,Arsenal,Aston Villa,0,2,0,0,0,2,1.49,0.97,51%,49%,18,11,4,2,14,9,7,17,4,6,5,1,14,14,0,4,12,7,0,0,3,1,450,425,21,18,94,68,63,37,15,14,1.15,0.29,56%,44%,14,6,3,0,11,6,2,6,2,0,2,0,7,9,0,3,4,3,0,0,2,1,250,195,12,9,53,33,39,12,6,5,0.34,0.68,46%,54%,4,5,1,2,3,3,5,11,2,6,3,1,7,5,0,1,8,4,0,0,1,0,200,230,9,9,41,35,24,25,9,9
2,14.04.2024,RODADA 33,Liverpool,Crystal Palace,0,1,0,1,0,0,2.97,1.94,70%,30%,21,8,6,5,15,3,13,12,11,1,2,5,20,21,4,6,10,10,0,0,1,1,725,324,26,27,174,79,75,27,11,45,1.00,1.18,63%,37%,7,6,3,4,4,2,7,6,3,0,2,4,10,12,3,3,4,4,0,0,0,0,350,208,10,18,80,48,26,12,6,9,1.97,0.76,77%,23%,14,2,3,1,11,1,6,6,8,1,0,1,10,9,1,3,6,6,0,0,1,1,375,116,16,9,94,31,49,15,5,36
3,14.04.2024,RODADA 33,West Ham,Fulham,0,2,0,1,0,1,1.02,3.15,58%,42%,15,18,4,10,11,8,10,11,8,3,1,0,20,8,8,4,6,13,0,0,1,2,549,412,16,26,136,72,76,30,12,35,0.83,1.30,55%,45%,12,10,3,6,9,4,4,7,4,1,1,0,10,2,5,3,3,7,0,0,0,0,265,226,6,6,67,35,44,15,5,18,0.19,1.85,61%,39%,3,8,1,4,2,4,6,4,4,2,0,0,10,6,3,1,3,6,0,0,1,2,284,186,10,20,69,37,32,15,7,17
4,13.04.2024,RODADA 33,Bournemouth,Manchester Utd,2,2,2,1,0,1,1.68,1.08,43%,57%,20,8,5,2,15,6,16,14,7,2,1,2,21,16,0,3,13,14,0,0,4,0,382,528,18,13,102,104,57,40,17,16,1.16,0.31,39%,61%,12,5,5,1,7,4,6,7,1,1,1,2,11,6,0,3,7,4,0,0,1,0,183,287,11,5,40,63,20,17,7,7,0.52,0.77,47%,53%,8,3,0,1,8,2,10,7,6,1,0,0,10,10,0,0,6,10,0,0,3,0,199,241,7,8,62,41,37,23,10,9
5,13.04.2024,RODADA 33,Brentford,Sheffield Utd,2,0,0,0,2,0,1.10,0.81,53%,47%,9,8,5,2,4,6,13,10,3,6,3,2,21,18,2,3,8,11,0,0,3,1,391,344,12,13,91,91,54,42,28,15,0.88,0.30,54%,46%,6,3,3,1,3,2,8,5,1,2,1,1,11,7,1,3,4,7,0,0,2,1,213,182,4,7,59,37,29,20,11,8,0.22,0.51,52%,48%,3,5,2,1,1,4,5,5,2,4,2,1,10,11,1,0,4,4,0,0,1,0,178,162,8,6,32,54,25,22,17,7
6,13.04.2024,RODADA 33,Burnley,Brighton,1,1,0,0,1,1,1.74,1.03,44%,56%,11,20,3,8,8,12,12,17,4,5,1,4,7,8,7,2,18,8,0,0,1,2,453,567,22,16,106,103,46,43,18,14,1.31,0.40,52%,48%,5,9,0,5,5,4,6,10,2,2,1,2,5,5,5,0,9,3,0,0,1,0,247,233,10,9,62,38,31,17,7,11,0.43,0.63,34%,66%,6,11,3,3,3,8,6,7,2,3,0,2,2,3,2,2,9,5,0,0,0,2,206,334,12,7,44,65,15,26,11,3
7,13.04.2024,RODADA 33,Manchester City,Luton,5,1,1,0,4,1,3.34,0.70,74%,26%,37,4,13,2,24,2,6,7,12,1,0,1,10,12,1,8,7,6,0,0,1,0,763,276,20,13,155,42,127,14,3,28,1.90,0.00,76%,24%,19,0,6,0,13,0,3,4,10,1,0,0,4,3,0,5,4,3,0,0,1,0,382,125,10,8,78,17,66,7,3,23,1.44,0.70,72%,28%,18,4,7,2,11,2,3,3,2,0,0,1,6,9,1,3,3,3,0,0,0,0,381,151,10,5,77,25,61,7,0,5
8,13.04.2024,RODADA 33,Nottingham,Wolverhampton,2,2,1,1,1,1,1.94,1.01,46%,54%,18,11,9,4,9,7,11,15,10,1,1,1,19,20,2,7,15,10,0,0,2,3,438,525,14,14,108,82,70,26,7,30,0.57,0.32,42%,58%,9,6,3,2,6,4,8,5,5,0,1,1,9,8,1,2,4,7,0,0,0,2,199,285,5,8,49,42,32,15,4,14,1.37,0.69,50%,50%,9,5,6,2,3,3,3,10,5,1,0,0,10,12,1,5,11,3,0,0,2,1,239,240,9,6,59,40,38,11,3,16
9,13.04.2024,RODADA 33,Newcastle,Tottenham,4,0,2,0,2,0,2.65,0.69,27%,73%,18,11,5,2,13,9,16,9,16,3,1,3,15,15,2,1,14,12,0,0,0,4,189,575,12,14,60,109,43,59,21,15,1.83,0.51,33%,67%,10,5,2,1,8,4,8,7,10,1,1,1,8,8,1,0,8,6,0,0,0,1,105,225,7,9,40,47,27,23,8,8,0.82,0.18,21%,79%,8,6,3,1,5,5,8,2,6,2,0,2,7,7,1,1,6,6,0,0,0,3,84,350,5,5,20,62,16,36,13,7
10,07.04.2024,RODADA 32,Tottenham,Nottingham,3,1,1,1,2,0,1.28,1.31,64%,36%,17,13,7,6,10,7,14,13,12,2,2,2,11,16,5,4,11,12,0,0,2,4,668,381,14,10,127,68,83,40,14,21,0.78,0.83,65%,35%,8,7,2,4,6,3,6,4,5,2,0,1,5,8,3,1,4,5,0,0,1,1,328,178,5,3,69,31,47,11,7,14,0.50,0.48,63%,37%,9,6,5,2,4,4,8,9,7,0,2,1,6,8,2,3,7,7,0,0,1,3,340,203,9,7,58,37,36,29,7,7
11,07.04.2024,RODADA 32,Sheffield Utd,Chelsea,2,2,1,1,1,1,1.47,0.41,32%,68%,11,6,6,3,5,3,10,11,7,6,0,0,13,17,1,4,12,10,0,0,4,2,316,697,13,10,108,113,40,44,22,21,0.39,0.22,27%,73%,5,3,4,1,1,2,6,4,2,1,0,0,5,8,0,3,4,6,0,0,0,1,148,419,4,3,57,66,15,20,6,8,1.08,0.19,37%,63%,6,3,2,2,4,1,4,7,5,5,0,0,8,9,1,1,8,4,0,0,4,1,168,278,9,7,51,47,25,24,16,13
12,07.04.2024,RODADA 32,Manchester Utd,Liverpool,2,2,0,1,2,1,0,0,38%,62%,9,28,5,7,4,21,12,12,6,11,3,2,10,22,5,3,9,10,0,0,5,2,362,574,32,15,57,137,38,90,30,13,0,0,43%,57%,0,14,0,4,0,10,5,4,3,8,2,1,5,13,3,0,2,4,0,0,0,1,195,253,18,7,35,63,19,42,11,7,0,0,33%,67%,9,14,5,3,4,11,7,8,3,3,1,1,5,9,2,3,7,6,0,0,5,1,167,321,14,8,22,74,19,48,19,6
