,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
0,20.04.2024,RODADA 34,Catanzaro,Cremonese,0,0,0,0,0,0,0.91,0.61,44%,56%,10,10,4,1,4,6,18,11,2,6,2,0,18,18,1,4,0,0,16,9,1,3,345,425,5,7,64,63,34,43,13,9
1,20.04.2024,RODADA 34,Lecco,Venezia,1,2,1,0,0,2,0.80,1.58,41%,59%,9,23,4,11,4,9,15,15,1,6,0,3,12,17,9,3,15,11,1,0,2,1,382,538,14,12,71,117,38,44,26,15
2,20.04.2024,RODADA 34,Spezia,Sampdoria,0,0,0,0,0,0,1.43,0.30,52%,48%,12,4,1,0,9,2,17,24,7,3,2,0,19,16,0,1,0,0,22,16,3,2,410,395,15,14,103,74,62,13,8,27
3,20.04.2024,RODADA 34,Sudtirol,Cittadella,0,0,0,0,0,0,0.98,0.52,64%,36%,11,11,2,5,4,5,13,9,2,5,1,0,14,19,5,2,0,0,9,12,0,2,604,330,11,22,126,79,45,48,19,10
4,20.04.2024,RODADA 34,Ascoli,Modena,0,0,0,0,0,0,1.14,0.44,55%,45%,11,11,1,4,4,3,21,23,3,5,2,1,31,26,4,1,0,0,18,19,3,3,435,355,12,20,132,102,55,31,25,20
5,20.04.2024,RODADA 34,Bari,Pisa,1,1,0,1,1,0,1.59,0.48,52%,48%,12,8,5,2,5,2,11,17,7,5,3,1,13,10,1,4,0,0,11,15,2,1,370,366,20,12,95,100,56,30,17,29
6,20.04.2024,RODADA 34,Brescia,Ternana,0,0,0,0,0,0,1.10,0.90,67%,33%,20,10,3,4,13,4,14,13,8,6,2,1,22,17,4,3,0,0,13,11,1,2,532,256,11,16,128,71,62,29,20,21
7,20.04.2024,RODADA 34,FeralpiSalo,Como,2,5,2,3,0,2,0.81,2.36,49%,51%,12,19,4,7,2,8,19,11,8,10,2,0,23,20,2,2,0,0,8,18,1,1,372,382,16,22,88,92,39,47,21,21
8,19.04.2024,RODADA 34,Palermo,Parma,0,0,0,0,0,0,0.82,0.55,49%,51%,9,14,2,4,5,6,10,17,7,5,4,3,19,12,4,2,0,0,7,13,2,2,474,509,5,12,94,98,58,42,9,23
9,19.04.2024,RODADA 34,Reggiana,Cosenza,0,4,0,2,0,2,0.84,1.09,59%,41%,18,14,3,6,9,5,16,12,6,5,1,1,23,13,2,3,0,0,15,11,1,4,520,371,8,14,109,66,58,20,10,23
